Domain,Count
cdninstagram.com,33
target.com,18
amazon.com,14
netflix.com,14
mailchimp.com,10
pornhub.com,9
amazon.it,7
amazon.in,7
amazon.es,7
booking.com,6
cdn-apple.com,6
amazon.de,6
agoda.com,6
rackspace.com,6
amazon.co.uk,6
t-online.de,5
telekom.de,5
timeweb.ru,5
amazon.fr,5
bankofamerica.com,4
icloud-content.com,4
microsoft.com,4
facebook.com,4
binance.com,3
salesforce.com,3
microsoftonline.com,3
verisign.com,3
robinhood.com,2
chaturbate.com,2
onlyfans.com,2
vmware.com,2
docker.com,2
google.de,2
bing.com,2
etsy.com,2
zoom.us,2
github.com,2
canonical.com,2
interia.pl,1
zillow.com,1
skroutz.gr,1
shopee.com.br,1
expedia.com,1
wshareit.com,1
ancestry.com,1
rbc.ru,1
innovid.com,1
ebay.de,1
rncdn7.com,1
duckduckgo.com,1
kaspi.kz,1
wildberries.ru,1
wordpress.org,1
tiktok.com,1
unity3d.com,1
kaspersky.com,1
t-mobile.com,1
issuu.com,1
aliyuncs.com,1
opendns.com,1
stripe.com,1
businessinsider.com,1
xboxlive.com,1
amazon.ca,1
netangels.ru,1
1c.ru,1
autodesk.com,1
worldnic.com,1
mikrotik.com,1
instagram.com,1
free.fr,1
qualtrics.com,1
yahoo.net,1
warnerbros.com,1
skype.com,1
